STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA CTRY,Region,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MULTIPLIER,UNIT_MEASURE,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,TIME_PERIOD_METHOD,REF_PERIOD,COVERAGE_TIME,AGE
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,VNM,6,PT_CHLD_Y0T4_REG,F,2023,98.9,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","General Statistics Office 2023, Statistical Yearbook 2023",,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,VNM,6,PT_CHLD_Y0T4_REG,M,2023,99.2,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","General Statistics Office 2023, Statistical Yearbook 2023",,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,VNM,6,PT_CHLD_Y0T4_REG,_T,2023,99,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","General Statistics Office 2023, Statistical Yearbook 2023",,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,AU_AFRICA,0,PT_CHLD_Y0T4_REG,_T,2023,56.287,,PCNT,E,,,,,"Based on 45 countries with a population coverage 97 per cent of the regional population aged 0-4 years. These estimates are based on countries with an available data source within the reference period of 2014 to 2023 and apply a methodology that is detailed in the 2024 UNICEF global report, The Right Start in Life: Global levels and trends in birth registration, 2024 update.","While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","DHS, MICS, other national surveys, censuses and vital registration systems",,,EOF,,2014-23,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,GEO,7,PT_CHLD_Y0T4_REG,M,2017,98.5,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",WMS 2017,,,EOF,,2017,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,GEO,7,PT_CHLD_Y0T4_REG,_T,2017,98.5,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",WMS 2017,,,EOF,,2017,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,GEO,7,PT_CHLD_Y0T4_REG,F,2017,98.6,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",WMS 2017,,,EOF,,2017,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,DEU,7,PT_CHLD_Y0T4_REG,_T,2023,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","Federal Statistical Office, Federal Ministry of Justice and the Federal Office of Justice",,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,DEU,7,PT_CHLD_Y0T4_REG,F,2023,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","Federal Statistical Office, Federal Ministry of Justice and the Federal Office of Justice",,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,DEU,7,PT_CHLD_Y0T4_REG,M,2023,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","Federal Statistical Office, Federal Ministry of Justice and the Federal Office of Justice",,,EOF,,2023,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,ALB,7,PT_CHLD_Y0T4_REG,F,2018,98,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",DHS 2017-18,,,EOF,,2017-18,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,ALB,7,PT_CHLD_Y0T4_REG,M,2018,98.9,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",DHS 2017-18,,,EOF,,2017-18,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,ALB,7,PT_CHLD_Y0T4_REG,_T,2018,98.4,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",DHS 2017-18,,,EOF,,2017-18,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,GHA,2,PT_CHLD_Y0T4_REG,M,2022,74.4,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",DHS 2022,,,EOF,,2022,Y0T4
